4671
0	3	3	0	0	0
1	2	2	0	0	0
2	23	3	2	0	0
3	23	3	2	0	0
4	3	3	0	0	0
5	2	2	0	0	0
6	23	3	2	0	0
7	23	3	2	0	0
8	25	2	5	0	0
9	25	2	5	0	0
10	25	2	5	0	0
11	5	5	0	0	0
12	35	3	5	0	0
13	35	5	3	0	0
14	23	2	3	0	0
15	3	3	0	0	0
16	35	3	5	0	0
17	2	2	0	0	0
18	25	5	2	0	0
19	35	3	5	0	0
20	35	5	3	0	0
21	35	5	3	0	0
23	23	2	3	0	0
24	25	2	5	0	0
25	2	2	0	0	0
26	23	2	3	0	0
27	23	2	3	0	0
28	25	5	2	0	0
29	5	5	0	0	0
30	35	5	3	0	0
31	2	2	0	0	0
32	5	5	0	0	0
33	2	2	0	0	0
34	25	5	2	0	0
35	23	2	3	0	0
36	25	2	5	0	0
37	35	5	3	0	0
38	3	3	0	0	0
39	2	2	0	0	0
40	2	2	0	0	0
41	25	5	2	0	0
42	23	2	3	0	0
43	26	6	2	0	0
44	6	6	0	0	0
45	26	6	2	0	0
46	36	3	6	0	0
47	2	2	0	0	0
48	6	6	0	0	0
49	26	2	6	0	0
50	36	3	6	0	0
51	36	6	3	0	0
52	36	3	6	0	0
53	26	6	2	0	0
54	26	6	2	0	0
56	35	5	3	0	0
57	2	2	0	0	0
58	45	5	4	0	0
59	45	4	5	0	0
60	45	4	5	0	0
61	4	4	0	0	0
62	2	2	0	0	0
63	2	2	0	0	0
64	4	4	0	0	0
65	26	6	2	0	0
66	36	6	3	0	0
67	36	3	6	0	0
68	26	2	6	0	0
69	36	3	6	0	0
70	26	2	6	0	0
71	24	4	2	0	0
72	24	4	2	0	0
73	24	4	2	0	0
74	5	5	0	0	0
75	24	2	4	0	0
76	4	4	0	0	0
77	24	2	4	0	0
78	45	5	4	0	0
79	25	5	2	0	0
81	45	4	5	0	0
82	24	2	4	0	0
83	24	2	4	0	0
84	4	4	0	0	0
85	46	4	6	0	0
86	35	5	3	0	0
87	36	3	6	0	0
88	46	6	4	0	0
89	45	5	4	0	0
90	2	2	0	0	0
91	45	4	5	0	0
92	45	4	5	0	0
93	24	4	2	0	0
94	4	4	0	0	0
95	24	4	2	0	0
